,country_name,years,pct_internet_users,%_change
0,China,1990,0.0,
5,China,1991,0.0,
10,China,1992,0.0,
15,China,1993,0.00016868,inf
20,China,1994,0.001168115,5.925035570310648
25,China,1995,0.00495471,3.2416286067724496
30,China,1996,0.013081692,1.6402538190933478
35,China,1997,0.032394861,1.4763509949630365
40,China,1998,0.168540297,4.20268622236101
45,China,1999,0.708187957,3.2018909993970164
50,China,2000,1.77591,1.5076817283409412
55,China,2001,2.63965,0.48636473695175986
60,China,2002,4.5957,0.7410262724224801
65,China,2003,6.2,0.3490871901995345
70,China,2004,7.3,0.17741935483870952
75,China,2005,8.52326,0.1675698630136988
80,China,2006,10.5232,0.23464495979237965
85,China,2007,16.0,0.5204500532157519
90,China,2008,22.6,0.4125000000000001
95,China,2009,28.9,0.27876106194690253
100,China,2010,34.3,0.18685121107266434
105,China,2011,38.3,0.11661807580174921
110,China,2012,42.3001,0.10444125326370757
115,China,2013,45.8,0.08273975711641346
120,China,2014,47.9,0.04585152838427953
125,China,2015,50.3,0.050104384133611735
130,China,2016,53.2,0.05765407554671986
135,China,2017,54.3,0.020676691729323293
140,China,2018,59.2,0.09023941068139973
145,China,2019,64.0809,0.08244763513513509
150,China,2020,70.0528,0.09319313555209119
155,China,2021,73.0532,0.042830550670351464
160,China,2022,75.6113,0.03501694655401821
165,China,2023,77.4827,0.024750268809027087
1,Thailand,1990,0.0,-1.0
6,Thailand,1991,5.22e-05,inf
11,Thailand,1992,0.000343725,5.584770114942529
16,Thailand,1993,0.013580966,38.51113826460106
21,Thailand,1994,0.038614321,1.843267629121522
26,Thailand,1995,0.074825338,0.9377613295336724
31,Thailand,1996,0.115472136,0.5432223774251443
36,Thailand,1997,0.360522185,2.1221574094723596
41,Thailand,1998,1.091218985,2.0267734702650824
46,Thailand,1999,2.426242432,1.2234239555500404
51,Thailand,2000,3.68904,0.5204746035865224
56,Thailand,2001,5.55633,0.5061723375187042
61,Thailand,2002,7.53125,0.3554360522143214
66,Thailand,2003,9.29903,0.2347259751037345
71,Thailand,2004,10.6773,0.14821653441272908
76,Thailand,2005,15.026,0.40728461315126463
81,Thailand,2006,17.1607,0.1420670837215492
86,Thailand,2007,20.03,0.16720180412220964
91,Thailand,2008,18.2,-0.09136295556665008
96,Thailand,2009,20.1,0.10439560439560447
101,Thailand,2010,22.4,0.11442786069651723
106,Thailand,2011,23.6699,0.056691964285714214
111,Thailand,2012,26.46,0.11787544518565785
116,Thailand,2013,28.94,0.09372637944066509
121,Thailand,2014,34.8861,0.205463026952315
126,Thailand,2015,39.3161,0.12698467297863614
131,Thailand,2016,47.505,0.2082836293528607
136,Thailand,2017,52.8919,0.11339648458057039
141,Thailand,2018,56.8175,0.07421930390097553
146,Thailand,2019,66.6524,0.17309631715580576
151,Thailand,2020,77.8437,0.16790543176239714
156,Thailand,2021,85.2696,0.09539500306383175
161,Thailand,2022,87.9772,0.03175340332310683
166,Thailand,2023,89.5352,0.017709133730102966
2,United Kingdom,1990,0.087355319,-0.9990243466368535
7,United Kingdom,1991,0.174230922,0.9945084511682685
12,United Kingdom,1992,0.260615159,0.495803133039725
17,United Kingdom,1993,0.519762001,0.9943659570470345
22,United Kingdom,1994,1.036609166,0.9943919794167486
27,United Kingdom,1995,1.895168284,0.8282380150206001
32,United Kingdom,1996,4.123650336,1.1758755519570525
37,United Kingdom,1997,7.385398957,0.7909857420558948
42,United Kingdom,1998,13.6699831,0.8509471430847173
47,United Kingdom,1999,21.29363827,0.5576930940024352
52,United Kingdom,2000,26.8218,0.2596156495148352
57,United Kingdom,2001,33.4811,0.2482793846796263
62,United Kingdom,2002,56.48,0.6869218753266768
67,United Kingdom,2003,64.82,0.14766288951841355
72,United Kingdom,2004,65.61,0.01218759642085776
77,United Kingdom,2005,70.0,0.06691053193110807
82,United Kingdom,2006,68.82,-0.016857142857142904
87,United Kingdom,2007,75.09,0.09110723626852679
92,United Kingdom,2008,78.39,0.04394726328405918
97,United Kingdom,2009,83.56,0.06595228983288681
102,United Kingdom,2010,85.0,0.017233125897558654
107,United Kingdom,2011,85.38,0.004470588235294004
112,United Kingdom,2012,87.48,0.024595924104005684
117,United Kingdom,2013,89.8441,0.027024462734339227
